text,sentiment
首先这是一条很认真的评价。 先要感谢013号阿姨的热情服务和帮助，每次来都让我有种回家的感觉。特意从大兴区带老同学来吃福口居火锅。初雪和火锅很配哦。 福口居的羊肉新鲜不膻，来自内蒙古锡林郭勒盟西乌珠穆沁旗。作为一个来自内蒙古锡林郭勒的草原汉子，对羊肉的品质要求很高，这里让我很满意。北京离锡林郭勒500多公里，能在这里吃到家乡的味道，款待老友，畅谈许久。 尤其是秘制牛肉丸，绝对是值得推荐的一道，太好吃啦！ 送了果盘和糖果，很贴心。 如果你也幸运的在北京，幸运的看到了福口居火锅，不妨进来品尝一下，我保证你还想再来。 再次感谢013号阿姨，爱你哦 附一张和老同学的合影,positive
菜品新鲜足量，服务周到热情，味道好极了，蘸酱确实独特。,positive
老友相聚，看着还不错就来了，果然来对了，专门还给宝宝赠送了鸡蛋羹，超赞，下次还会再来，老字号值得相信，最后还打包了，饮料多种选择，适合不同人群，衣服冬季就餐衣物专门有收纳的地方，还不会染上火锅的味道，服务贴心。,positive
口味好，环境不错，服务一流，团的券，量大都没吃完，实惠，还送了一个凉拌菜，不错，推荐大家前来品尝，定会满意。,positive
以前经常来的，尤其适合大家庭聚会，非常满意。,positive
挺好的哟，疫情之前去的，羊肉挺好吃的～,positive
味道还是那个味道，感觉还是那个感觉，不错的选择,positive
第一回来福口居吃饭，真心不错。进门后环境就很讲究，肉很嫩，蔬菜拼盘啥的量也足，炸灌肠外焦里嫩，很棒，小铜锅涮肉看着也很讲究，饮料还是随便和且味道很好，还赠送了盘乾隆白菜，很好吃，服务很好，很及时的收空盘和添水，完全不亚于海底捞。我们吃着这顿就开始计划下顿了，饭后还赠送小布丁冰棍。,positive
肉时间长，不新鲜，味道差劲，不好吃，服务员告诉我说，套餐就这样，肉品差，要想吃新鲜肉，就得单独再点贵的,negative
非常不错，物美价廉，服务到位,positive
整体感觉一般般把，但是价格不算贵，口味也还行。,neutral
老北京铜火锅，服务周到，菜品较多，菜量充足。,positive
【环境】环境很古朴，有老北京风味。同时餐厅里面很干净，地面和桌子都有特色。主要是，离我们挺近的hhh。 【服务】服务非常贴心。给我们头绳，将包包盖起来，手机的塑料袋子也有配备。如果锅底水不够让加，会很快过来。不用提醒也会将我们放在架子上的用过的餐盘主动收走。 【口味】铜锅味道很好，牛羊肉都很好吃。我们几个人甚至都没有吃完，量还ok哒。上菜的时候还会给我们祝福。 小料除了选择可以加一些调料，种类很全。旁边有小零食可供选择。 饮料有多种，我们尝了两种，酸梅汤，赞。 快要吃完的时候，可能因为是夏天，送了西瓜。还给我们一人一个小布丁。呜呜呜谢谢。很好的体验。,positive
看到推荐才来的，味道还不错，服务周到，价格实惠，推荐来品尝 #极品羊肉# #精品肥牛# #秘制酸梅汤#,positive
这家店真的是无论周内周末都需要排队，所以如果要去还是尽量提前排队，我们大学等位一个小时十分钟，五点四十到福口居的吧。 之前吃过，味道不错，有免费饮料和小吃，不过这次去免费小吃只有一样，种类变少了。菜量还是很大，我们团了四人餐，三女 一男，还剩了一些菜。 有一个缺点，桌子太小，菜摆上去很慢，体验稍微差一点。 不过还是推荐大家去品尝，也希望福口居的服务可以再继续改进，我们也会一如既往地支持~哈哈,positive
挺好吃的呀 选的麻酱蘸料 还可以 但我又打了辣辣的蘸料 哈哈哈哈 好吃 份量超级无敌巨足 四个女生 把肉吃完了就很饱了 还有蔬菜盘 菌菇盘 好多的菜菜 服务的姐姐人也很好 还给我们送了水果 很热情的 还有几种自助的饮料小吃可以选择 走的时候还给我们送了雪糕 棒👍,positive
很一般，没啥特色，蔬菜不是鲜嫩,negative
团的券，挺实惠的。环境很好，服务员也比较周到。小锅煮，火大了容易崩到。,positive
点菜服务员态度太差！太差！！服务差服务差,negative
用的129那个套餐 说的是两个人实际上两个人完全吃不下 建议三个人吃,positive
还可以,positive
服务超级好～吃的人超级多～等位用了一个小时我会乱说…………🤣🤣🤣,positive
性价比挺高的，俩人去点个套餐完全吃到撑。环境也ok，下次想试试手切羊肉~,positive
服务好，干净卫生，我生日还送了生日礼物和长寿面以及果盘，服务细心,positive
013 【服务】服务热情周到、贴心很满意！ 【环境】 【口味】,positive
除了菜品份量少以外，其它方面都不错。,positive
环境优雅，服务热情，份量还行,positive
013的姐姐服务态度很好 羊肉很好吃😋 超级超级棒,positive
服务态度非常好，饮品不限量。,positive
非常周到 非常满意13号服务员服务意识积极主动,positive
服务超差，碗上面都是污渍不说，还要等位等到了别人还在排队就说打烊了，我都不明白你们服务员怎么培训的,negative
013阿姨的服务特别好，宾至如归，特别贴心，体验特别好。 阿姨服务热情，考虑周到，还很贴心，送上了果盘，冰棍，糖果。 火锅的话点的套餐很实惠，三个老爷们没有吃完，羊肉也不错，没有腥味，,positive
不知为什么这次培根质量不好，基本上就是淀粉做的。,negative
味道不错，还不算贵,positive
服务态度特别好，013大姐特别热情，牛羊肉丸子双拼特别好吃，肉也特别好，有特别便宜，,positive
太棒了！明天还去,positive
整体来说还不错，味道可以，菜品新鲜，希望后期卫生也在提高一下。,positive
BT-17服务员服务非常的好！,positive
很满意。服务员服务很到位，态度很好！！！,positive
北太平庄福口居服务周到，细致体贴，菜品可口，环境优雅舒服，还有免费的停车位，一楼的环境就很好啦，没想到二楼的环境更好，这里特别感谢工号为013的大姐服务特别贴心，还给孩子们拿来孩子们喜欢的贴画和玩具，给个大大的好评！,positive
味道很不错，值得推荐，有机会还会再去,positive
肉特别好吃🙈阿姨服务挺好的，蘑菇真的给了好多好多！013阿姨服务特别好,positive
美团也是够***的狠的！我原来有摩拜单车会员卡，也有大众点评餐饮点单。愣是被它坑蒙拐骗到美团APP注册会员，注册完了还说我的身份证已经注册过了，还是无法联通大众点评和摩拜单车！在美团点买了团购餐饮使用后仍然无法打通！更奇葩的是找遍整个APP竟然找不到反馈意见交互的入口！只有反馈意见以后才会在我的反馈里面体现！这就像王兴他爸没有生他，却要问王兴的儿子是男是女！！！,negative
第一次来 服务真的蛮好的 口味也不错推荐,positive
